epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.0772,1.66174,0.19355,1,1.74463,6.666e-05,6.666e-05,6.666e-05
2,14.7966,1.62542,0.5,1,1.23145,0.000143,0.000143,0.000143
3,16.8408,1.23148,0.79032,1,0.85059,0.0002178,0.0002178,0.0002178
4,22.5765,1.04209,0.90323,1,0.59546,0.000291061,0.000291061,0.000291061
5,29.4113,0.79274,0.95161,1,0.35461,0.000362781,0.000362781,0.000362781
6,35.423,0.68972,0.95161,1,0.22705,0.000432962,0.000432962,0.000432962
7,41.8143,0.52838,0.96774,1,0.15143,0.000501603,0.000501603,0.000501603
8,43.411,0.31899,0.96774,1,0.10498,0.000568704,0.000568704,0.000568704
9,48.2264,0.52859,0.96774,1,0.07666,0.000634265,0.000634265,0.000634265
10,54.0642,0.23577,0.98387,1,0.04724,0.000698287,0.000698287,0.000698287
11,56.9111,0.18243,1,1,0.02682,0.000760768,0.000760768,0.000760768
12,61.6432,0.3659,1,1,0.01804,0.00082171,0.00082171,0.00082171
13,67.5352,0.39198,1,1,0.01527,0.000881112,0.000881112,0.000881112
14,72.9755,0.37969,1,1,0.01405,0.000938974,0.000938974,0.000938974
15,77.4162,0.08653,1,1,0.0141,0.000957015,0.000957015,0.000957015
16,78.7764,0.11111,0.98387,1,0.03278,0.000946016,0.000946016,0.000946016
17,82.6905,0.41205,0.98387,1,0.03857,0.000935018,0.000935018,0.000935018
18,88.6401,0.42318,0.98387,1,0.05332,0.000924019,0.000924019,0.000924019
19,91.2488,0.60422,0.98387,1,0.04935,0.00091302,0.00091302,0.00091302
20,97.0928,0.40745,0.98387,1,0.04219,0.000902021,0.000902021,0.000902021
21,101.678,0.11347,0.98387,1,0.04613,0.000891022,0.000891022,0.000891022
22,106.45,0.49396,0.98387,1,0.02335,0.000880023,0.000880023,0.000880023
23,110.88,0.4277,0.98387,1,0.01653,0.000869024,0.000869024,0.000869024
24,112.165,0.14011,0.98387,1,0.0249,0.000858025,0.000858025,0.000858025
25,116.91,0.15631,0.98387,1,0.023,0.000847026,0.000847026,0.000847026
26,122.375,0.17528,0.98387,1,0.01454,0.000836027,0.000836027,0.000836027
27,125.32,0.33625,0.98387,1,0.03336,0.000825029,0.000825029,0.000825029
28,130.281,0.30015,0.98387,1,0.0492,0.00081403,0.00081403,0.00081403
29,135.862,0.20206,0.98387,1,0.03231,0.000803031,0.000803031,0.000803031
30,139.994,0.15451,0.98387,1,0.01824,0.000792032,0.000792032,0.000792032
31,144.169,0.49345,1,1,0.01111,0.000781033,0.000781033,0.000781033
