epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.7281,1.66122,0.16,1,1.91602,4.444e-05,4.444e-05,4.444e-05
2,26.4828,1.53785,0.36,1,1.53125,9.90001e-05,9.90001e-05,9.90001e-05
3,27.9099,1.37033,0.64,1,1.03711,0.00015246,0.00015246,0.00015246
4,29.3449,1.16289,0.8,1,0.7998,0.000204821,0.000204821,0.000204821
5,33.8998,0.99281,0.8,1,0.70996,0.000256081,0.000256081,0.000256081
6,35.0891,1.12526,0.84,1,0.5249,0.000306242,0.000306242,0.000306242
7,40.678,0.85289,0.96,1,0.31909,0.000355302,0.000355302,0.000355302
8,45.7338,0.73034,0.96,1,0.24365,0.000403263,0.000403263,0.000403263
9,46.6615,0.51037,0.96,1,0.1604,0.000450124,0.000450124,0.000450124
10,51.0014,0.58252,0.96,1,0.12585,0.000495885,0.000495885,0.000495885
11,52.0107,0.4382,0.96,1,0.10699,0.000540546,0.000540546,0.000540546
12,53.899,0.45921,1,1,0.07819,0.000584107,0.000584107,0.000584107
13,57.1231,0.41295,1,1,0.08307,0.000626568,0.000626568,0.000626568
14,58.1305,0.40223,1,1,0.06964,0.00066793,0.00066793,0.00066793
15,63.5126,0.36696,1,1,0.07031,0.000708191,0.000708191,0.000708191
16,68.2475,0.23143,1,1,0.0683,0.000747353,0.000747353,0.000747353
17,69.1942,0.24669,0.96,1,0.10358,0.000785415,0.000785415,0.000785415
18,74.592,0.11148,0.96,1,0.09943,0.000822377,0.000822377,0.000822377
19,75.5384,0.49772,0.96,1,0.11316,0.000858239,0.000858239,0.000858239
20,78.247,0.06909,0.96,1,0.12488,0.000893001,0.000893001,0.000893001
21,81.4014,0.31073,0.96,1,0.15051,0.000891022,0.000891022,0.000891022
22,82.4453,0.55189,0.96,1,0.08783,0.000880023,0.000880023,0.000880023
23,87.8425,0.85831,0.96,1,0.0816,0.000869024,0.000869024,0.000869024
24,92.7264,0.19074,0.96,1,0.10016,0.000858025,0.000858025,0.000858025
25,93.6406,0.68404,0.96,1,0.0733,0.000847026,0.000847026,0.000847026
26,98.131,0.20937,0.96,1,0.06329,0.000836027,0.000836027,0.000836027
27,99.1198,0.16005,0.96,1,0.06885,0.000825029,0.000825029,0.000825029
28,102.616,0.08659,0.96,1,0.06201,0.00081403,0.00081403,0.00081403
29,104.13,0.48103,0.96,1,0.07727,0.000803031,0.000803031,0.000803031
30,105.575,0.48983,0.96,1,0.13379,0.000792032,0.000792032,0.000792032
31,110.538,0.21224,0.96,1,0.17273,0.000781033,0.000781033,0.000781033
32,115.871,0.77202,0.96,1,0.13794,0.000770034,0.000770034,0.000770034
33,116.826,0.40937,0.96,1,0.11835,0.000759035,0.000759035,0.000759035
34,121.78,0.36787,0.96,1,0.10034,0.000748036,0.000748036,0.000748036
35,122.978,0.46434,0.96,1,0.08264,0.000737037,0.000737037,0.000737037
36,127.007,0.36177,0.96,1,0.05426,0.000726038,0.000726038,0.000726038
37,128.153,0.07683,1,1,0.04138,0.00071504,0.00071504,0.00071504
38,129.629,0.6172,1,1,0.04968,0.000704041,0.000704041,0.000704041
39,135.099,0.11767,1,1,0.04364,0.000693042,0.000693042,0.000693042
40,139.82,0.20821,1,1,0.05316,0.000682043,0.000682043,0.000682043
41,140.795,0.59081,0.96,1,0.0813,0.000671044,0.000671044,0.000671044
42,145.766,0.57016,0.96,1,0.10516,0.000660045,0.000660045,0.000660045
43,146.989,0.29009,0.96,1,0.1131,0.000649046,0.000649046,0.000649046
44,151.194,0.33,0.96,1,0.07416,0.000638047,0.000638047,0.000638047
45,152.097,0.07584,0.96,1,0.12744,0.000627048,0.000627048,0.000627048
46,153.134,0.32771,0.96,1,0.20178,0.000616049,0.000616049,0.000616049
47,158.788,0.31214,0.96,1,0.13428,0.000605051,0.000605051,0.000605051
48,164.322,0.25248,1,1,0.02676,0.000594052,0.000594052,0.000594052
49,165.532,0.13274,1,1,0.00757,0.000583053,0.000583053,0.000583053
50,170.66,0.15878,1,1,0.00459,0.000572054,0.000572054,0.000572054
51,171.645,0.18128,1,1,0.00439,0.000561055,0.000561055,0.000561055
52,177.256,0.11901,1,1,0.00546,0.000550056,0.000550056,0.000550056
53,178.248,0.35516,1,1,0.00783,0.000539057,0.000539057,0.000539057
54,179.265,0.08503,1,1,0.00726,0.000528058,0.000528058,0.000528058
55,183.917,0.6262,1,1,0.01044,0.000517059,0.000517059,0.000517059
56,188.961,0.49382,0.96,1,0.03723,0.00050606,0.00050606,0.00050606
57,190.318,0.57383,1,1,0.01286,0.000495062,0.000495062,0.000495062
58,195.605,0.55749,1,1,0.01284,0.000484063,0.000484063,0.000484063
59,196.484,0.14678,1,1,0.03062,0.000473064,0.000473064,0.000473064
60,201.388,0.16433,0.96,1,0.05023,0.000462065,0.000462065,0.000462065
61,202.29,0.08218,0.96,1,0.04224,0.000451066,0.000451066,0.000451066
62,203.285,0.14507,0.96,1,0.05478,0.000440067,0.000440067,0.000440067
63,207.764,0.27154,0.96,1,0.04059,0.000429068,0.000429068,0.000429068
64,212.431,0.42602,0.96,1,0.04642,0.000418069,0.000418069,0.000418069
65,214.833,0.06343,0.96,1,0.0383,0.00040707,0.00040707,0.00040707
66,220.518,0.14459,1,1,0.02048,0.000396071,0.000396071,0.000396071
67,221.45,0.18703,0.96,1,0.03299,0.000385073,0.000385073,0.000385073
68,226.469,0.41562,1,1,0.01336,0.000374074,0.000374074,0.000374074
69,227.515,0.39758,1,1,0.01945,0.000363075,0.000363075,0.000363075
70,228.662,0.08538,1,1,0.01813,0.000352076,0.000352076,0.000352076
71,232.849,0.09782,1,1,0.03015,0.000341077,0.000341077,0.000341077
72,236.624,0.38732,0.96,1,0.03354,0.000330078,0.000330078,0.000330078
73,239.501,0.24987,1,1,0.02679,0.000319079,0.000319079,0.000319079
74,245.21,0.48017,1,1,0.02298,0.00030808,0.00030808,0.00030808
75,246.116,0.06521,1,1,0.01756,0.000297081,0.000297081,0.000297081
76,251.007,0.12368,1,1,0.02731,0.000286083,0.000286083,0.000286083
77,251.916,0.38471,1,1,0.02315,0.000275084,0.000275084,0.000275084
78,253.148,0.47754,1,1,0.02824,0.000264085,0.000264085,0.000264085
79,257.385,0.21883,1,1,0.02344,0.000253086,0.000253086,0.000253086
80,260.46,0.18166,1,1,0.02126,0.000242087,0.000242087,0.000242087
81,263.232,0.42993,1,1,0.01826,0.000231088,0.000231088,0.000231088
82,268.389,0.13351,1,1,0.01537,0.000220089,0.000220089,0.000220089
83,269.383,0.56533,1,1,0.01153,0.00020909,0.00020909,0.00020909
84,274.144,0.33676,1,1,0.00809,0.000198091,0.000198091,0.000198091
85,275.063,0.26479,1,1,0.0096,0.000187092,0.000187092,0.000187092
86,276.001,0.07978,1,1,0.00571,0.000176094,0.000176094,0.000176094
87,280.267,0.14733,1,1,0.0084,0.000165095,0.000165095,0.000165095
88,283.472,0.34995,1,1,0.01083,0.000154096,0.000154096,0.000154096
89,286.293,0.05236,1,1,0.0108,0.000143097,0.000143097,0.000143097
90,291.504,0.32423,1,1,0.01362,0.000132098,0.000132098,0.000132098
91,341.28,0.17656,1,1,0.01926,0.000121099,0.000121099,0.000121099
92,346.758,0.03421,1,1,0.01031,0.0001101,0.0001101,0.0001101
93,347.592,0.02205,1,1,0.01145,9.91012e-05,9.91012e-05,9.91012e-05
94,352.149,0.06769,1,1,0.02028,8.81023e-05,8.81023e-05,8.81023e-05
95,357.093,0.10517,1,1,0.0142,7.71034e-05,7.71034e-05,7.71034e-05
96,357.92,0.20189,1,1,0.02046,6.61045e-05,6.61045e-05,6.61045e-05
97,362.311,0.15532,1,1,0.01802,5.51056e-05,5.51056e-05,5.51056e-05
98,363.214,0.0489,1,1,0.01849,4.41067e-05,4.41067e-05,4.41067e-05
99,364.157,0.32334,1,1,0.01654,3.31078e-05,3.31078e-05,3.31078e-05
100,368.333,0.10427,1,1,0.02257,2.21089e-05,2.21089e-05,2.21089e-05
