epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,340.133,0.05943,1,1,0.01226,0.000253086,0.000253086,0.000253086
80,344.698,0.02263,0.97959,1,0.01532,0.000242087,0.000242087,0.000242087
81,345.721,0.07172,0.97959,1,0.02022,0.000231088,0.000231088,0.000231088
82,351.309,0.18166,0.97959,1,0.03792,0.000220089,0.000220089,0.000220089
83,356.29,0.01423,0.97959,1,0.05639,0.00020909,0.00020909,0.00020909
84,360.901,0.05628,0.97959,1,0.02998,0.000198091,0.000198091,0.000198091
85,361.907,0.0184,0.97959,1,0.02576,0.000187092,0.000187092,0.000187092
86,367.239,0.06863,0.97959,1,0.03111,0.000176094,0.000176094,0.000176094
87,372.19,0.36555,0.97959,1,0.01835,0.000165095,0.000165095,0.000165095
88,376.836,0.01549,0.97959,1,0.02349,0.000154096,0.000154096,0.000154096
89,377.993,0.02796,1,1,0.02103,0.000143097,0.000143097,0.000143097
90,383.568,0.01713,0.97959,1,0.03753,0.000132098,0.000132098,0.000132098
91,435.062,0.01577,0.97959,1,0.03281,0.000121099,0.000121099,0.000121099
92,440.58,0.01401,0.97959,1,0.01521,0.0001101,0.0001101,0.0001101
93,445.45,0.02089,0.97959,1,0.01493,9.91012e-05,9.91012e-05,9.91012e-05
94,446.403,0.04032,0.97959,1,0.02281,8.81023e-05,8.81023e-05,8.81023e-05
95,450.534,0.02126,0.97959,1,0.02516,7.71034e-05,7.71034e-05,7.71034e-05
96,455.886,0.02096,0.97959,1,0.02338,6.61045e-05,6.61045e-05,6.61045e-05
97,461.204,0.04723,0.97959,1,0.01812,5.51056e-05,5.51056e-05,5.51056e-05
98,462.216,0.06693,0.97959,1,0.02327,4.41067e-05,4.41067e-05,4.41067e-05
99,467.189,0.01022,0.97959,1,0.01645,3.31078e-05,3.31078e-05,3.31078e-05
100,472.554,0.00456,0.97959,1,0.01871,2.21089e-05,2.21089e-05,2.21089e-05
